		local t=0
		zo_callLater(Press1, t)

		t=t+1000
		zo_callLater(LClick, t)

		t=t+1000
		zo_callLater(BarSwap, t)

		t=t+1000
		zo_callLater(BarSwap, t)

		t=t+1000
		zo_callLater(LClick, t)
		zo_callLater(Press1, t+50)

		t=t+2000
		zo_callLater(Press1, t)
		zo_callLater(LClick, t+600)

		t=t+2000
		zo_callLater(Press1, t)
		zo_callLater(Press1, t+700)

		t=t+2000
		zo_callLater(AHKRapidFire.CeaseFireFnc, t)

1	3005403	EVENT_ACTION_UPDATE_COOLDOWNS	131183
2	3005405	OnActionUpdateCooldowns	990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990
69	3007487	EVENT_ACTION_SLOT_STATE_UPDATED	131178	10
70	3007487	EVENT_ACTION_SLOT_STATE_UPDATED	131178	11
71	3007487	EVENT_ACTION_SLOT_STATE_UPDATED	131178	12
72	3007487	EVENT_ACTION_SLOT_STATE_UPDATED	131178	13
73	3007487	EVENT_ACTION_SLOT_STATE_UPDATED	131178	14
74	3007487	EVENT_ACTION_SLOT_STATE_UPDATED	131178	15
75	3007487	EVENT_ACTION_SLOT_STATE_UPDATED	131178	16
76	3007490	EVENT_ACTION_UPDATE_COOLDOWNS	131183
77	3007490	OnActionUpdateCooldowns	250, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78	3007490	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
79	3007490	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
80	3007490	EVENT_ACTION_SLOT_STATE_UPDATED	131178	3
81	3007490	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
82	3007490	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
83	3007490	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
84	3007490	EVENT_ACTION_SLOT_STATE_UPDATED	131178	1
85	3007490	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
86	3007736	EVENT_ACTION_UPDATE_COOLDOWNS	131183
87	3007736	OnActionUpdateCooldowns	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88	3007946	EVENT_WEAPON_PAIR_LOCK_CHANGED	131251	false
89	3007986	EVENT_ACTION_UPDATE_COOLDOWNS	131183
90	3007987	OnActionUpdateCooldowns	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91	3008367	EVENT_WEAPON_PAIR_LOCK_CHANGED	131251	true
92	3008367	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
93	3008367	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
94	3008367	EVENT_ACTION_SLOT_STATE_UPDATED	131178	3
95	3008367	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
96	3008367	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
97	3008367	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
98	3008367	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
99	3008367	EVENT_ACTION_SLOT_STATE_UPDATED	131178	1
100	3008457	EVENT_COMBAT_EVENT	131106	2250	false	Silks of the Sun	0	0		0	Phrost Pendragon^Mx	1	0	-1	1	false	0	31087	29095	0
101	3008458	EVENT_COMBAT_EVENT	131106	2240	false	Silks of the Sun	0	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	1	-1	1	false	31087	31087	29095	0
102	3008458	EVENT_COMBAT_EVENT	131106	2240	false	Silks of the Sun	0	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	0	-1	1	false	31087	31087	29095	0
103	3008458	EVENT_ACTION_SLOT_STATE_UPDATED	131178	9
104	3008458	EVENT_ACTION_SLOT_STATE_UPDATED	131178	10
105	3008458	EVENT_ACTION_SLOT_STATE_UPDATED	131178	11
106	3008458	EVENT_ACTION_SLOT_STATE_UPDATED	131178	12
107	3008458	EVENT_ACTION_SLOT_STATE_UPDATED	131178	13
108	3008458	EVENT_ACTION_SLOT_STATE_UPDATED	131178	14
109	3008458	EVENT_ACTION_SLOT_STATE_UPDATED	131178	15
110	3008458	EVENT_ACTION_SLOT_STATE_UPDATED	131178	16
111	3008460	EVENT_ACTION_UPDATE_COOLDOWNS	131183
112	3008460	OnActionUpdateCooldowns	250, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113	3008461	EVENT_COMBAT_EVENT	131106	2240	false	Seething Fury	0	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	1	-1	1	true	31087	31087	32842	0
114	3008461	EVENT_COMBAT_EVENT	131106	2240	false	Seething Fury	0	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	0	-1	1	true	31087	31087	32842	0
115	3008461	EVENT_COMBAT_EVENT	131106	2240	false	Major Prophecy	0	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	1	-1	1	true	31087	31087	76420	0
116	3008461	EVENT_COMBAT_EVENT	131106	2240	false	Major Savagery	0	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	1	-1	1	true	31087	31087	76426	0
117	3008461	EVENT_EFFECT_CHANGED	131151	1	15	Major Prophecy	player	1638.1719970703	1638.1719970703	0	/esoui/art/icons/ability_buff_major_prophecy.dds		1	0	0	Phrost Pendragon^Mx	31087	61689	1
118	3008462	EVENT_COMBAT_EVENT	131106	2240	false	Major Prophecy	0	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	0	-1	1	true	31087	31087	76420	0
119	3008472	EVENT_EFFECT_CHANGED	131151	1	11	Major Savagery	player	3008.4541015625	3008.4541015625	0	/esoui/art/icons/ability_buff_major_savagery.dds		1	0	0	Phrost Pendragon^Mx	31087	61667	1
120	3008473	EVENT_COMBAT_EVENT	131106	2240	false	Major Savagery	0	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	0	-1	1	true	31087	31087	61667	0
121	3008473	EVENT_COMBAT_EVENT	131106	2240	false	Major Savagery	0	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	0	-1	1	true	31087	31087	76426	0
122	3008473	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
123	3008473	EVENT_ACTION_SLOT_STATE_UPDATED	131178	3
124	3008473	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
125	3008473	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
126	3008473	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
127	3008473	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
128	3008473	EVENT_ACTION_SLOT_STATE_UPDATED	131178	1
129	3008473	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
130	3008709	EVENT_ACTION_UPDATE_COOLDOWNS	131183
131	3008710	OnActionUpdateCooldowns	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
132	3008919	EVENT_WEAPON_PAIR_LOCK_CHANGED	131251	false
133	3008959	EVENT_ACTION_UPDATE_COOLDOWNS	131183
134	3008960	OnActionUpdateCooldowns	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
135	3009400	EVENT_ACTION_UPDATE_COOLDOWNS	131183
136	3009400	OnActionUpdateCooldowns	690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
137	3009400	EVENT_ACTION_SLOT_ABILITY_USED	131185	1
138	3009400	OnActionSlotAbilityUsed	690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
139	3009400	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
140	3009400	EVENT_ACTION_SLOT_STATE_UPDATED	131178	3
141	3009400	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
142	3009400	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
143	3009400	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
144	3009400	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
145	3009400	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
146	3009449	EVENT_ACTION_UPDATE_COOLDOWNS	131183
147	3009450	OnActionUpdateCooldowns	640, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990
148	3009450	EVENT_ACTION_SLOT_ABILITY_USED	131185	3
149	3009450	OnActionSlotAbilityUsed	640, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990
150	3009450	EVENT_ACTION_SLOT_STATE_UPDATED	131178	3
151	3009450	EVENT_ACTION_SLOT_STATE_UPDATED	131178	1
152	3009480	EVENT_ACTION_UPDATE_COOLDOWNS	131183
153	3009480	OnActionUpdateCooldowns	610, 700, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960
154	3009540	EVENT_ACTION_UPDATE_COOLDOWNS	131183
155	3009540	OnActionUpdateCooldowns	550, 640, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900
156	3009541	EVENT_COMBAT_EVENT	131106	2240	false	Seething Fury	37686	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	2	-1	1	true	31087	31087	122658	0
157	3009541	EVENT_EFFECT_CHANGED	131151	3	54844	Seething Fury	player	3009.537109375	3014.537109375	2	/esoui/art/icons/ability_dragonknight_025.dds		1	5	0	Phrost Pendragon^Mx	31087	122658	1
158	3009541	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
159	3009541	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
160	3009541	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
161	3009541	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
162	3009541	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
163	3009541	EVENT_ACTION_SLOT_STATE_UPDATED	131178	1
164	3009541	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
165	3010039	EVENT_ACTION_UPDATE_COOLDOWNS	131183
166	3010039	OnActionUpdateCooldowns	50, 140, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400
167	3010089	EVENT_ACTION_UPDATE_COOLDOWNS	131183
168	3010090	OnActionUpdateCooldowns	350, 90, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350
169	3010180	EVENT_ACTION_UPDATE_COOLDOWNS	131183
170	3010180	OnActionUpdateCooldowns	260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260
171	3010439	EVENT_ACTION_UPDATE_COOLDOWNS	131183
172	3010439	OnActionUpdateCooldowns	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
173	3011400	EVENT_ACTION_UPDATE_COOLDOWNS	131183
174	3011400	OnActionUpdateCooldowns	989, 989, 989, 989, 989, 989, 989, 989, 989, 989, 989, 989, 989, 989, 989, 989
175	3011400	EVENT_ACTION_SLOT_ABILITY_USED	131185	3
176	3011400	OnActionSlotAbilityUsed	989, 989, 989, 989, 989, 989, 989, 989, 989, 989, 989, 989, 989, 989, 989, 989
177	3011400	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
178	3011400	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
179	3011400	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
180	3011400	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
181	3011400	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
182	3011400	EVENT_ACTION_SLOT_STATE_UPDATED	131178	1
183	3011400	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
184	3011490	EVENT_ACTION_UPDATE_COOLDOWNS	131183
185	3011491	OnActionUpdateCooldowns	900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900
186	3011491	EVENT_COMBAT_EVENT	131106	2240	false	Seething Fury	37686	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	3	-1	1	true	31087	31087	122658	0
187	3011491	EVENT_EFFECT_CHANGED	131151	3	54844	Seething Fury	player	3011.4870605469	3016.4870605469	3	/esoui/art/icons/ability_dragonknight_025.dds		1	5	0	Phrost Pendragon^Mx	31087	122658	1
188	3011491	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
189	3011491	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
190	3011491	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
191	3011491	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
192	3011491	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
193	3011491	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
194	3011491	EVENT_ACTION_SLOT_STATE_UPDATED	131178	1
195	3011499	EVENT_ACTION_UPDATE_COOLDOWNS	131183
196	3011500	OnActionUpdateCooldowns	890, 890, 890, 890, 890, 890, 890, 890, 890, 890, 890, 890, 890, 890, 890, 890
197	3011990	EVENT_ACTION_UPDATE_COOLDOWNS	131183
198	3011991	OnActionUpdateCooldowns	399, 399, 399, 399, 399, 399, 399, 399, 399, 399, 399, 399, 399, 399, 399, 399
199	3012000	EVENT_ACTION_SLOT_ABILITY_USED	131185	1
200	3012000	OnActionSlotAbilityUsed	389, 389, 389, 389, 389, 389, 389, 389, 389, 389, 389, 389, 389, 389, 389, 389
201	3012350	EVENT_ACTION_UPDATE_COOLDOWNS	131183
202	3012350	OnActionUpdateCooldowns	700, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39
203	3012360	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
204	3012360	EVENT_ACTION_SLOT_STATE_UPDATED	131178	3
205	3012360	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
206	3012360	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
207	3012360	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
208	3012360	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
209	3012360	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
210	3012390	EVENT_ACTION_UPDATE_COOLDOWNS	131183
211	3012390	OnActionUpdateCooldowns	660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
212	3012439	EVENT_COMBAT_EVENT	131106	2350	false	Light Attack	5196	5	Phrost Pendragon^Mx	1		0	0	-1	4	true	31087	0	18350	0
213	3012460	EVENT_ACTION_UPDATE_COOLDOWNS	131183
214	3012461	OnActionUpdateCooldowns	590, 700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
215	3012461	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
216	3012461	EVENT_ACTION_SLOT_STATE_UPDATED	131178	3
217	3012461	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
218	3012461	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
219	3012461	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
220	3012461	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
221	3012461	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
222	3013050	EVENT_ACTION_UPDATE_COOLDOWNS	131183
223	3013050	OnActionUpdateCooldowns	0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
224	3013160	EVENT_ACTION_UPDATE_COOLDOWNS	131183
225	3013160	OnActionUpdateCooldowns	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
226	3013401	EVENT_ACTION_UPDATE_COOLDOWNS	131183
227	3013401	OnActionUpdateCooldowns	990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990
228	3013401	EVENT_ACTION_SLOT_ABILITY_USED	131185	3
229	3013401	OnActionSlotAbilityUsed	990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990
230	3013402	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
231	3013402	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
232	3013402	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
233	3013402	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
234	3013402	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
235	3013402	EVENT_ACTION_SLOT_STATE_UPDATED	131178	1
236	3013402	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
237	3013490	EVENT_ACTION_UPDATE_COOLDOWNS	131183
238	3013491	OnActionUpdateCooldowns	900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900
239	3013491	EVENT_COMBAT_EVENT	131106	2240	false	Seething Fury	37686	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	3	-1	1	true	31087	31087	122658	0
240	3013491	EVENT_EFFECT_CHANGED	131151	3	54844	Seething Fury	player	3013.4880371094	3018.4880371094	3	/esoui/art/icons/ability_dragonknight_025.dds		1	5	0	Phrost Pendragon^Mx	31087	122658	1
241	3013492	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
242	3013492	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
243	3013492	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
244	3013492	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
245	3013492	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
246	3013492	EVENT_ACTION_SLOT_STATE_UPDATED	131178	1
247	3013492	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
248	3013990	EVENT_ACTION_UPDATE_COOLDOWNS	131183
249	3013990	OnActionUpdateCooldowns	400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400
250	3014101	EVENT_COMBAT_EVENT	131106	2080	true	Engulfing Flames	0	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	0	-1	3	true	31087	31087	20930	0
251	3014390	EVENT_ACTION_UPDATE_COOLDOWNS	131183
252	3014390	OnActionUpdateCooldowns	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
